Frozen novelties, juice type, juice with cream|115|1.41|1.41|24.1|42.0|120
Tofu yogurt|94.0|3.5|1.8|16.0|35.0|47.0
Alcoholic beverage, rice (sake)|134|0.5|0.0|5.0|2.0|25.0
Millet, puffed|354|13.0|3.4|80.0|5.0|40.0
Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY|380|10.0|3.0|78.0|380|340
Babyfood, mixed fruit yogurt, strained|75.0|0.8|0.8|16.2|16.0|62.0
Beverages, ABBOTT, ENSURE PLUS, ready-to-drink|141|5.16|4.52|19.9|95.0|175
Babyfood, rice and apples, dry|396|6.7|2.4|86.9|16.0|410
Babyfood, juice, apple - cherry|47.0|0.2|0.1|11.2|4.0|110
Milk, imitation, non-soy|46.0|1.6|2.0|5.3|55.0|150
Babyfood, cereal, rice with pears and apple, dry, instant fortified|389|6.6|0.9|88.5|2.0|414
Babyfood, banana no tapioca, strained|91.0|1.0|0.2|21.3|2.0|290
Babyfood, banana apple dessert, strained|68.0|0.3|0.2|16.3|7.0|71.0
Breakfast bar, corn flake crust with fruit|376|4.4|7.5|72.8|337|197
Cheese, mozzarella, low sodium|280|27.5|17.1|3.1|16.0|95.0
Mayonnaise dressing, no cholesterol|688|0.0|77.8|0.3|486|14.0
Oil, corn, peanut, and olive|884|0.0|100|0.0|0.0|0.0
Pie fillings, blueberry, canned|181|0.41|0.2|44.4|12.0|115
Beverages, Cocktail mix, non-alcoholic, concentrated, frozen|287|0.08|0.01|71.6|0.0|23.0
Puddings, chocolate flavor, low calorie, regular, dry mix|365|10.1|3.0|74.4|3330.0|570
Puddings, all flavors except chocolate, low calorie, regular, dry mix|351|1.6|0.1|86.0|1760.0|18.0
Mollusks, scallop, (bay and sea), cooked, steamed|111|20.5|0.84|5.41|667|314
Syrup, Cane|269|0.0|0.0|73.1|58.0|63.0
Mollusks, snail, raw|90.0|16.1|1.4|2.0|70.0|382
Turtle, green, raw|89.0|19.8|0.5|0.0|68.0|230
Lemons, raw, without peel|29.0|1.1|0.3|9.32|2.0|138
Lemon juice, raw|22.0|0.35|0.24|6.9|1.0|103
Lemon juice from concentrate, canned or bottled|17.0|0.45|0.07|5.62|24.0|109
Lemon peel, raw|47.0|1.5|0.3|16.0|6.0|160
Prickly pears, raw|41.0|0.73|0.51|9.57|5.0|220
Plums, dried (prunes), stewed, without added sugar|107|0.96|0.16|28.1|1.0|321
Plums, dried (prunes), stewed, with added sugar|124|1.09|0.22|32.9|2.0|312
Prune juice, canned|71.0|0.61|0.03|17.4|4.0|276
Pummelo, raw|38.0|0.76|0.04|9.62|1.0|216
Raspberries, raw|52.0|1.2|0.65|11.9|1.0|151
Raspberries, canned, red, heavy syrup pack, solids and liquids|91.0|0.83|0.12|23.4|3.0|94.0
Raspberries, frozen, red, sweetened|103|0.7|0.16|26.2|1.0|114
Rhubarb, raw|21.0|0.9|0.2|4.54|4.0|288
Sapodilla, raw|83.0|0.44|1.1|20.0|12.0|193
Sapote, mamey, raw|124|1.45|0.46|32.1|7.0|454
Soursop, raw|66.0|1.0|0.3|16.8|14.0|278
Strawberries, raw|32.0|0.67|0.3|7.68|1.0|153
Tamarinds, raw|239|2.8|0.6|62.5|28.0|628
Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids|86.0|0.41|0.1|22.4|2.0|131
Watermelon, raw|30.0|0.61|0.15|7.55|1.0|112
Maraschino cherries, canned, drained|165|0.22|0.21|42.0|4.0|21.0
Pineapple, canned, juice pack, drained|60.0|0.51|0.11|15.6|1.0|124
Apricots, canned, heavy syrup, drained|83.0|0.64|0.11|21.3|4.0|143
Cherries, sour, canned, water pack, drained|42.0|0.69|0.21|10.4|4.0|115
Cherries, sweet, canned, pitted, heavy syrup, drained|83.0|0.73|0.21|21.1|3.0|148
Apple juice, canned or bottled, unsweetened, with added ascorbic acid|46.0|0.1|0.13|11.3|4.0|101
Applesauce, canned, unsweetened, with added ascorbic acid|42.0|0.17|0.1|11.3|2.0|74.0
Applesauce, canned, sweetened, with salt|76.0|0.18|0.18|19.9|28.0|61.0
Grapefruit juice, pink, raw|39.0|0.5|0.1|9.2|1.0|162
Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid|47.0|0.14|0.1|11.5|7.0|126
Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)|63.0|0.39|0.16|15.0|1.0|101
Pears, raw, red anjou|62.0|0.33|0.14|14.9|1.0|123
Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)|67.0|0.36|0.09|16.1|1.0|122
Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)|66.0|0.44|0.1|15.8|1.0|127
Prune puree|257|2.1|0.2|65.1|23.0|852
Candied fruit|322|0.34|0.07|82.7|98.0|56.0
